Title/Author,Price,Avalibility,Reviews,Link,Rating
"Operating System Concepts
By Avi Silberschatz",Rs.9648,Not in stock,20 Reviews,https://www.amazon.com/Operating-System-Concepts-Abridged-Companion/dp/1119456339,4.52
"UNIX The Textbook
By Syed Mansoor Sarwar",Rs.8264,In stock,42 Reviews,https://www.google.com/search?q=Unix+the+textbook+by+mansoor&rlz=1C1CHBD_enPK987PK987&oq=unix+the+textbook+by+mansoor&aqs=chrome.0.69i59j69i57j69i59j69i60l5.4419j0j7&sourceid=chrome&ie=UTF-8,0
"Taxonomy of IDS
By Dr. Arif Butt",Rs.8083,Not in stock,48 Reviews,https://www.amazon.in/Taxonomy-Ids-Arif-Butt/dp/3639294092,5
"Things Fall Apart
By Chinua Achebe",Rs.3331,In stock,49 Reviews,https://en.wikipedia.org/wiki/Things_Fall_Apart,4.8100000000000005
"Fairy tales
By Hans Christian Andersen",Rs.9808,In stock,80 Reviews,https://en.wikipedia.org/wiki/Fairy_Tales_Told_for_Children._First_Collection.,0
"The Divine Comedy
By Dante Alighieri",Rs.9904,In stock,80 Reviews,https://en.wikipedia.org/wiki/Divine_Comedy,5
"The Epic Of Gilgamesh
By Unknown",Rs.7112,Not in stock,63 Reviews,https://en.wikipedia.org/wiki/Epic_of_Gilgamesh,5
"The Book Of Job
By Unknown",Rs.8545,In stock,25 Reviews,https://en.wikipedia.org/wiki/Book_of_Job,0
"One Thousand and One Nights
By Unknown",Rs.3809,In stock,37 Reviews,https://en.wikipedia.org/wiki/One_Thousand_and_One_Nights,5
"Njál's Saga
By Unknown",Rs.9600,Not in stock,56 Reviews,https://en.wikipedia.org/wiki/Nj%C3%A1ls_saga,4.67
"Pride and Prejudice
By Jane Austen",Rs.4917,Not in stock,77 Reviews,https://en.wikipedia.org/wiki/Pride_and_Prejudice,0
"Le Père Goriot
By Honoré de Balzac",Rs.3758,Not in stock,169 Reviews,https://en.wikipedia.org/wiki/Le_P%C3%A8re_Goriot,3.95
"Molloy, Malone Dies, The Unnamable, the trilogy
By Samuel Beckett",Rs.8722,In stock,170 Reviews,https://en.wikipedia.org/wiki/Molloy_(novel),0
"The Decameron
By Giovanni Boccaccio",Rs.7866,Not in stock,178 Reviews,https://en.wikipedia.org/wiki/The_Decameron,1.78
"Ficciones
By Jorge Luis Borges",Rs.6079,Not in stock,65 Reviews,https://en.wikipedia.org/wiki/Ficciones,1.63
